event,value,timestamp
IBI,970,2022-10-18T19:04:20.476754
HR,63,2022-10-18T19:04:20.476754
IBI,929,2022-10-18T19:04:20.482356
HR,63,2022-10-18T19:04:20.482356
IBI,945,2022-10-18T19:04:21.695535
HR,63,2022-10-18T19:04:21.697597
IBI,928,2022-10-18T19:04:22.497719
HR,63,2022-10-18T19:04:22.506822
IBI,881,2022-10-18T19:04:23.717811
HR,64,2022-10-18T19:04:23.721824
IBI,830,2022-10-18T19:04:24.520688
HR,64,2022-10-18T19:04:24.532295
IBI,816,2022-10-18T19:04:25.740151
HR,65,2022-10-18T19:04:25.740151
IBI,779,2022-10-18T19:04:25.747111
HR,65,2022-10-18T19:04:25.747111
IBI,792,2022-10-18T19:04:26.542922
HR,66,2022-10-18T19:04:26.556957
IBI,826,2022-10-18T19:04:27.361541
HR,67,2022-10-18T19:04:27.361541
IBI,840,2022-10-18T19:04:28.572336
HR,68,2022-10-18T19:04:28.582133
IBI,850,2022-10-18T19:04:29.390549
HR,68,2022-10-18T19:04:29.392149
IBI,917,2022-10-18T19:04:30.594819
HR,69,2022-10-18T19:04:30.606173
IBI,957,2022-10-18T19:04:31.415495
HR,69,2022-10-18T19:04:31.416002
IBI,914,2022-10-18T19:04:32.627040
HR,68,2022-10-18T19:04:32.627040
IBI,926,2022-10-18T19:04:33.437094
HR,68,2022-10-18T19:04:33.441237
IBI,950,2022-10-18T19:04:34.655579
HR,68,2022-10-18T19:04:34.656180
IBI,935,2022-10-18T19:04:35.465236
HR,67,2022-10-18T19:04:35.466289
IBI,922,2022-10-18T19:04:36.676852
HR,67,2022-10-18T19:04:36.681632
IBI,944,2022-10-18T19:04:36.681632
HR,67,2022-10-18T19:04:36.682629
IBI,973,2022-10-18T19:04:37.481518
HR,66,2022-10-18T19:04:37.491427
IBI,932,2022-10-18T19:04:38.700375
HR,66,2022-10-18T19:04:38.706941
IBI,927,2022-10-18T19:04:39.502206
HR,66,2022-10-18T19:04:39.502206
IBI,967,2022-10-18T19:04:40.721942
HR,66,2022-10-18T19:04:40.731347
IBI,964,2022-10-18T19:04:41.539151
HR,65,2022-10-18T19:04:41.541739
IBI,919,2022-10-18T19:04:42.743591
HR,65,2022-10-18T19:04:42.757456
IBI,922,2022-10-18T19:04:44.766818
HR,65,2022-10-18T19:04:44.782129
IBI,925,2022-10-18T19:04:44.788849
HR,65,2022-10-18T19:04:44.788849
IBI,901,2022-10-18T19:04:46.395210
HR,65,2022-10-18T19:04:46.402259
IBI,891,2022-10-18T19:04:46.404345
HR,65,2022-10-18T19:04:46.404345
IBI,910,2022-10-18T19:04:47.615195
HR,65,2022-10-18T19:04:47.617118
IBI,948,2022-10-18T19:04:48.417215
HR,65,2022-10-18T19:04:48.426135
IBI,919,2022-10-18T19:04:48.426135
HR,65,2022-10-18T19:04:48.426135
IBI,918,2022-10-18T19:04:49.636893
HR,65,2022-10-18T19:04:49.641466
IBI,942,2022-10-18T19:04:50.439664
HR,65,2022-10-18T19:04:50.451732
IBI,912,2022-10-18T19:04:51.660051
HR,65,2022-10-18T19:04:51.660051
IBI,854,2022-10-18T19:04:52.463006
HR,65,2022-10-18T19:04:52.476990
IBI,837,2022-10-18T19:04:53.682644
HR,65,2022-10-18T19:04:53.691878
IBI,885,2022-10-18T19:04:54.500732
HR,66,2022-10-18T19:04:54.501524
IBI,916,2022-10-18T19:04:55.709237
HR,66,2022-10-18T19:04:55.709237
IBI,919,2022-10-18T19:04:56.518073
HR,66,2022-10-18T19:04:56.526939
IBI,905,2022-10-18T19:04:57.738513
HR,66,2022-10-18T19:04:57.742279
IBI,917,2022-10-18T19:04:57.742279
HR,66,2022-10-18T19:04:57.742279
IBI,924,2022-10-18T19:04:58.548296
HR,66,2022-10-18T19:04:58.548296
IBI,895,2022-10-18T19:04:59.359984
HR,66,2022-10-18T19:04:59.362429
IBI,893,2022-10-18T19:05:00.569311
HR,66,2022-10-18T19:05:00.569311
IBI,904,2022-10-18T19:05:01.378038
HR,66,2022-10-18T19:05:01.387541
IBI,891,2022-10-18T19:05:02.598379
HR,66,2022-10-18T19:05:02.602135
IBI,881,2022-10-18T19:05:03.400527
HR,66,2022-10-18T19:05:03.411615
IBI,903,2022-10-18T19:05:04.620153
HR,66,2022-10-18T19:05:04.627078
IBI,930,2022-10-18T19:05:05.429756
HR,67,2022-10-18T19:05:05.436980
IBI,892,2022-10-18T19:05:06.650096
HR,66,2022-10-18T19:05:06.652062
IBI,900,2022-10-18T19:05:06.652062
HR,66,2022-10-18T19:05:06.652062
IBI,899,2022-10-18T19:05:07.453023
HR,66,2022-10-18T19:05:07.461798
IBI,890,2022-10-18T19:05:08.673505
HR,66,2022-10-18T19:05:08.673505
IBI,886,2022-10-18T19:05:09.476287
HR,67,2022-10-18T19:05:09.476287
IBI,897,2022-10-18T19:05:10.696381
HR,67,2022-10-18T19:05:10.702021
IBI,917,2022-10-18T19:05:11.499555
HR,67,2022-10-18T19:05:11.511739
IBI,916,2022-10-18T19:05:12.719775
HR,67,2022-10-18T19:05:12.726401
IBI,938,2022-10-18T19:05:13.522905
HR,67,2022-10-18T19:05:13.537929
IBI,965,2022-10-18T19:05:14.742850
HR,66,2022-10-18T19:05:14.752314
IBI,938,2022-10-18T19:05:15.561390
HR,66,2022-10-18T19:05:15.561957
IBI,965,2022-10-18T19:05:16.370833
HR,66,2022-10-18T19:05:16.371638
